Key,File,Type,UsedInMainMenu,NoTranslate,KeepLoaded,english
izpoffensiveskills,,,,,,"Combat Skills"
izpOffensiveSkillsName,,,,,,"Combat Skills"
izpOffensiveSkillsDesc,,,,,,"Combat Skills is the grouping of skills dedicated to killing your enemies directly."
izputilityskills,,,,,,"Utility Skills"
izpUtilitySkillsName,,,,,,"Utility Skills"
izpUtilitySkillsDesc,,,,,,"Utility Skills is the grouping of skills dedicated towards helping you acquire resources, improve your body and generally survive."
izpmeleeperks,,,,,,"Melee Perks"
izpMeleePerksName,,,,,,"Melee Perks [Scroll Down To See More]"
izpMeleePerksDesc,,,,,,"Melee Perks is a grouping of abilities, talents and specializations dedicated towards melee combat."
izprangedperks,,,,,,"Ranged Perks"
izpRangedPerksName,,,,,,"Ranged Perks [Scroll Down To See More]"
izpRangedPerksDesc,,,,,,"Ranged Perks is a grouping of abilities, talents and specializations dedicated towards ranged combat."
izpmentalperks,,,,,,"Mental Perks"
izpMentalPerksName,,,,,,"Mental Perks"
izpMentalPerksDesc,,,,,,"Mental Perks is a grouping of abilities, talents and specializations related to the brain."
izpphysicalperks,,,,,,"Physical Perks"
izpPhysicalPerksName,,,,,,"Physical Perks [Scroll Down To See More]"
izpPhysicalPerksDesc,,,,,,"Physical Perks is a grouping of abilities, talents and specializations related to your body."
izpresourceperks,,,,,,"Resource Perks"
izpResourcePerksName,,,,,,"Resource Perks"
izpResourcePerksDesc,,,,,,"Resource Perks is a grouping of abilities, talents and specializations dedicated to resource collection."
izpcraftingperks,,,,,,"Crafting Perks"
izpCraftingPerksName,,,,,,"Crafting Perks [Scroll Down To See More]"
izpCraftingPerksDesc,,,,,,"Crafting Perks is a grouping of abilities, talents and specializations dedicated to crafting."
skillMeleeSkills,,,,,,"Melee Skills"
skillMeleeSkillsDesc,,,,,,"Melee Skills is a grouping of skills dedicated towards melee combat. Your damage will improve as you level them up."
skillMeleeSkillsName,,,,,,"Melee Skills"
skillRangedSkills,,,,,,"Ranged Skills"
skillRangedSkillsName,,,,,,"Ranged Skills"
skillRangedSkillsDesc,,,,,,"Ranged Skills is a grouping of skills dedicated towards ranged combat. Your handling and damage will improve as you level them up."
skillMentalSkills,,,,,,"Mental Skills"
skillMentalSkillsName,,,,,,"Mental Skills"
skillMentalSkillDesc,,,,,,"Mental Skills is a grouping of skills related to the brain."
skillPhysicalSkills,,,,,,"Physical Skills"
skillPhysicalSkillsName,,,,,,"Physical Skills"
skillPhysicalSkillsDesc,,,,,,"Physical Skills is a grouping of skills related to your body."
skillResourceSkills,,,,,,"Resource Skills"
skillResourceSkillsName,,,,,,"Resource Skills"
skillResourceSkillsDesc,,,,,,"Resource Skills is a grouping of skills dedicated to resource collection."
skillGeneralMeleePerks,,,,,,"General Melee Perks"
skillGeneralMeleePerksName,,,,,,"General Melee Perks"
skillGeneralMeleePerksDesc,,,,,,"General Melee Perks"
skillBluntPerks,,,,,,"Blunt Melee Perks"
skillBluntPerksName,,,,,,"Blunt Melee Perks"
skillBluntPerksDesc,,,,,,"Blunt Melee Perks"
skillBladePerks,,,,,,"Blade Melee Perks"
skillBladePerksName,,,,,,"Blade Melee Perks"
skillBladePerksDesc,,,,,,"Blade Melee Perks"
skillPiercingPerks,,,,,,"Piercing Melee Perks"
skillPiercingPerksName,,,,,,"Piercing Melee Perks"
skillPiercingPerksDesc,,,,,,"Piercing Melee Perks"
skillGeneralRangedPerks,,,,,,"General Ranged Perks"
skillGeneralRangedPerksName,,,,,,"General Ranged Perks"
skillGeneralRangedPerksDesc,,,,,,"General Ranged Perks"
skillPistolPerks,,,,,,"Pistol Perks"
skillPistolPerksName,,,,,,"Pistol Perks"
skillPistolPerksDesc,,,,,,"Pistol Perks"
skillShotgunPerks,,,,,,"Shotgun Perks"
skillShotgunPerksName,,,,,,"Shotgun Perks"
skillShotgunPerksDesc,,,,,,"Shotgun Perks"
skillRiflePerks,,,,,,"Rifle Perks"
skillRiflePerksName,,,,,,"Rifle Perks [Scroll Down To See More]"
skillRiflePerksDesc,,,,,,"Rifle Perks"
skillAutoRiflePerks,,,,,,"Auto Rifle Perks"
skillAutoRiflePerksName,,,,,,"Auto Rifle Perks"
skillAutoRiflePerksDesc,,,,,,"Auto Rifle Perks"
skillArcheryPerks,,,,,,"Archery Perks"
skillArcheryPerksName,,,,,,"Archery Perks"
skillArcheryPerksDesc,,,,,,"Archery Perks"
skillGeneralPhysicalPerks,,,,,,"General Physical Perks"
skillGeneralPhysicalPerksName,,,,,,"General Physical Perks"
skillGeneralPhysicalPerksDesc,,,,,,"General Physical Perks"
skillArmorPerks,,,,,,"Armor Perks"
skillArmorPerksName,,,,,,"Armor Perks"
skillArmorPerksDesc,,,,,,"Armor Perks"
skillStealthPerks,,,,,,"Stealth Perks"
skillStealthPerksName,,,,,,"Stealth Perks"
skillStealthPerksDesc,,,,,,"Stealth Perks"
skillSurvivalismPerks,,,,,,"Survivalism Perks"
skillSurvivalismPerksName,,,,,,"Survivalism Perks"
skillSurvivalismPerksDesc,,,,,,"Survivalism Perks"
skillGeneralMentalPerks,,,,,,"General Mental Perks"
skillGeneralMentalPerksName,,,,,,"General Mental Perks"
skillGeneralMentalPerksDesc,,,,,,"General Mental Perks"
skillSpeechPerks,,,,,,"Speech Perks"
skillSpeechPerksName,,,,,,"Speech Perks"
skillSpeechPerksDesc,,,,,,"Speech Perks"
skillSpeechPerks,,,,,,"Speech Perks"
skillSpeechPerksName,,,,,,"Speech Perks"
skillSpeechPerksDesc,,,,,,"Speech Perks"
skillExplosivesPerks,,,,,,"Explosives Perks"
skillExplosivesPerksName,,,,,,"Explosives Perks"
skillExplosivesPerksDesc,,,,,,"Explosives Perks"
skillRoboticsPerks,,,,,,"Robotics Perks"
skillRoboticsPerksName,,,,,,"Robotics Perks"
skillRoboticsPerksDesc,,,,,,"Robotics Perks"
skillMiningPerks,,,,,,"Mining Perks"
skillMiningPerksName,,,,,,"Mining Perks"
skillMiningPerksDesc,,,,,,"Mining Perks"
skillSalvagingPerks,,,,,,"Salvaging Perks"
skillSalvagingPerksName,,,,,,"Salvaging Perks"
skillSalvagingPerksDesc,,,,,,"Salvaging Perks"
skillScavengingPerks,,,,,,"Scavenging Perks"
skillScavengingPerksName,,,,,,"Scavenging Perks"
skillScavengingPerksDesc,,,,,,"Scavenging Perks"
skillAdvancedCraftingPerks,,,,,,"Advanced Crafting Perks"
skillAdvancedCraftingPerksName,,,,,,"Advanced Crafting Perks"
skillAdvancedCraftingPerksDesc,,,,,,"Advanced Crafting Perks"
skillMeleeCraftingPerks,,,,,,"Melee Crafting Perks"
skillMeleeCraftingPerksName,,,,,,"Melee Crafting Perks"
skillMeleeCraftingPerksDesc,,,,,,"Melee Crafting Perks"
